chunk_id,appliance_type,help_type,symptom_key,source_url,chunk_text,updated_at
repair_guide_refrigerator_leaking,refrigerator,repair_guide,leaking,https://www.partselect.com/Repair/Refrigerator/Leaking/,"How To Fix Leaking Refrigerator
18 step by step videos
Door gaskets or seals are found along the outside of the refrigerator’s doors. They are normally made from a vinyl material and will typically have a flexible magnetic strip inside to adhere to the cabinet when the door is closed to create an airtight seal. If there is moisture along the edge of the door then inspect the gaskets for distortion or damage. Air leakage through a defective gasket will create excessive moisture in the refrigerator, possibly resulting in defrost issues and potential water leaks.
How to inspect refrigerator door gaskets or seals:
After unplugging your refrigerator, open the fridge and freezer doors to inspect the door gaskets or seals.
You are looking for any discoloration, mold, wear, missing pieces, or anything else that may prevent a proper seal.
If you find any of the above, you will needreplacement gaskets or seals.
The water inlet valve is a solenoid-operated device that connects your household water supply line to your refrigerator if you have an ice maker or water dispenser. When activated, it diverts water from the supply line to the dispenser or to fill your ice maker.
How to check the water inlet valve in a refrigerator with a multi-meter:
Unplug your refrigerator, disconnect the water supply and locate your water inlet valve. It is usually on the rear of the fridge, near the bottom. You will need to remove the rear panel to access it.
Inspect the valve inlet supply connections for leaks and tighten or replace the connectors. You should also inspect the valve body for any cracks or damage. Check the outlet tubing for cracks or abrasions that may also create a leak and replace any cracked or brittle tubing and connectors.
If none of the above appear to be the cause of the leak, remove the water inlet valve from the unit.
Using a multi-meter on the Rx1 setting, test your valve for conitniuty by placing the probes on the valve’s terminals. You should receive a reading of 200 to",1773944934.3454149
repair_guide_refrigerator_refrigerator-too-warm,refrigerator,repair_guide,refrigerator too warm,https://www.partselect.com/Repair/Refrigerator/Refrigerator-Too-Warm/,"How To Fix A Refrigerator That's Too Warm
The air damper, baffle or diffuser is the device that balances the air flow from the evaporator fan housing. This normally is a mechanically controlled baffle or flapper that controls the amount of cold air entering the fresh food compartment. If the baffle is damaged or the linkage to the control knob is damaged, then you may not have enough cold air entering the fresh food compartment resulting in higher than normal temperatures.
How to inspect a refrigerator’s air inlet damper or baffle:
Disconnect your refrigerator from the power source and open your refrigerator door to locate the damper or baffle. It will be found where the cold air enters the fresh food compartment.
The housing that the baffle or damper is encased in is often made of plastic with a Styrofoam lining and may have a foam seal to prevent air leakage. Care should be used when inspecting the housing to avoid damage to the seal or the Styrofoam.
Some refrigerator models use a temperature sensing bulb attached to this control that will automatically adjust the control for changes in the interior temperature. Make sure that the sensing bulb is in the correct position and is not damaged.
Attempt to operate the control knob to verify that the linkage is intact and that it moves freely.
If the damper/baffle is stuck in the closed or nearly closed position or does not move freely, then you need areplacement air inlet damper or baffle.
Still not sure which part is broken? We can offer you custom troubleshooting help if you search with your model number.",1773944934.507087
repair_guide_refrigerator_noisy,refrigerator,repair_guide,noisy,https://www.partselect.com/Repair/Refrigerator/Noisy/,"How To Fix A Noisy Refrigerator
33 step by step videos
Most modern frost-free refrigerators will have a fan cooled condenser coil. The condenser fan circulates air through the condenser coil to remove heat as well as circulating air over the drain pan to evaporate the defrost water. If your fridge is making a loud noise, the condenser fan motor could be to blame. The condenser fan motor runs at the same time as the evaporator motor and the compressor. In addition to noise, your fridge might not be staying as cool as normal and/or may be turning on and off regularly.
How to inspect a refrigerator condenser fan motor:
Disconnect your refrigerator from the power source and then remove the rear access panel.
Locate the condenser fan motor, it is usually found near the compressor at the bottom rear of the refrigerator.
Visually inspect the condenser fan motor for any signs of wear or damage. Look for any debris or obstructions that could be preventing the fan from moving freely.
If the fan motor is seized or worn, you will need areplacement condenser fan motor.
The evaporator fan motor is responsible for pulling air over the evaporator coils when the compressor is running. If your refrigerator is making a loud noise that appears to be coming from the freezer area, a faulty evaporator fan motor could be to blame. You may also notice that your refrigerator is not staying as cold as normal, or your ice is taking longer to freeze.
How to inspect a refrigerator evaporator fan motor:
After unplugging your refrigerator, remove the evaporator fan cover. The evaporator fan cover is located inside the unit in the freezer compartment.
Inspect the evaporator motor for any signs of wear or damage. If there is a significant amount of ice on the motor, defrost your freezer and see if that resolves the issue.
Attempt to manually turn the motor shaft, it should turn freely with minimal resistance.",1773944934.6213179
repair_guide_refrigerator_will-not-start,refrigerator,repair_guide,will not start,https://www.partselect.com/Repair/Refrigerator/Will-Not-Start/,"How To Fix A Refrigerator That Will Not Start
8 step by step videos
The overload relay is a protection device used in the compressor circuit on your refrigerator. Power is applied to the compressor motor windings through the overload device, and the relay is used to add the start winding in the circuit until the compressor is at running speed. If the fans are running and your compressor won’t start or if you hear a clicking sound from the unit, check the overload relay for signs of overheating or arcing.
How to test a refrigerator’s overload or relay-start capacitor with a multi-meter:
Begin by ensuring you have unplugged your refrigerator, and then remove the rear panel.
Locate and remove your overload or relay-start capacitor. On modern refrigerators the overload relay is usually a combined part and plugs directly onto the side of the compressor. There may also be a start capacitor attached to the relay overload assembly, which provides increased starting voltage to the compressor windings.
To test, begin by discharging the capacitor, then set your multi-meter to the Rx1 setting and place the probes onto the terminals of the overload capacitor and/or the relay-start capacitor. The reading you should receive will vary from model to model, and may be indicated on the outside of the capacitor, or in your owner’s manual.
If your test does not produce the reading the manufacturer recommends, you need areplacement overload or relay-start capacitor. If your tests do produce the recommended readings you may have a defective compressor, which will need to be tested by a qualified professional as it is a live circuit test.
The cold control is a temperature-controlled switch that supplies power to the compressor and fan circuits in the refrigerator. If your refrigerator won’t start and no fans are running, then you may have a defective control.
How to test your fridge’s cold control & temperature control with a multi-meter:
After disconnecting your appliance from the power s",1773944934.713314
repair_guide_refrigerator_not-making-ice,refrigerator,repair_guide,not making ice,https://www.partselect.com/Repair/Refrigerator/Not-Making-Ice/,"How To Fix A Refrigerator That's Not Making Ice
23 step by step videos
Inspect the ice maker mold to see if there are ice cubes present. If there are no cubes or very small cubes, then you should look for issues with the water fill system.
How to inspect your refrigerator’s water fill tubes:
Before beginning, disconnect both the power and water source from your refrigerator.
At the back of the icemaker, inspect the fill tube and the fill cup area at the back of the ice maker to make sure that they are not frozen. If there is an ice buildup in that area, confirm no foreign objects have disrupted the flow of water into the fill cup.
Inspect the outlet tubing from the fill valve to the ice maker fill tube for any signs of restrictions.
If you find any issues while performing the checks above, you will needreplacement water fill tubes.
Some water inlet valves may have a screen to filter debris before it can enter the valve. If the screen is plugged, water flow will be restricted, and the result will be small or layered ice cubes. Remove and clean the screen if it is clogged. If dirt has gotten into the valve it may not shut off completely and will continuously drip water into the ice maker fill tube and will eventually freeze up. Low household water pressure or a restriction at the manual shut off valve will also cause the water inlet valve to not shut off completely and create this same condition. Self piercing saddle valves are the most common shut off valve to cause this problem as the hole that is pierced in the water line is often too small and will more easily become restricted.
How to check the water inlet valve in a refrigerator with a multi-meter:
Disconnect your appliance from the power and water source before beginning.
Remove the rear access panel and locate your water inlet valve, it is usually found near the bottom.
Before removing the inlet valve, look for any signs of leaks or loose connectors in the valve inlet supply. If no issues are found, inspect th",1773944934.840266
repair_guide_refrigerator_refrigerator-freezer-too-warm,refrigerator,repair_guide,refrigerator freezer too warm,https://www.partselect.com/Repair/Refrigerator/Refrigerator-Freezer-Too-Warm/,"How To Fix A Refrigerator and Freezer That's Too Warm
15 step by step videos
The cold control is a temperature-controlled switch that supplies power to the compressor and fan circuits in the refrigerator. If the compressor and fans are operating normally but not running often enough or long enough to maintain the correct temperatures in the fresh food and freezer sections, then the cold control may be defective or out of calibration. Normal fresh food temperatures are in the 38° Fahrenheit range with the control set to mid-point. Verify that the capillary tube or sensing bulb is not damaged or out of position and that the wire terminals are not loose or corroded.
How to test your fridge’s cold control & temperature control with a multi-meter:
Unplug your refrigerator before beginning, then open your refrigerator door and locate the control. It will be located behind the temperature adjustment knob and is usually found in the fresh food section control panel.
After removing the control from the appliance, turn the control to the warmest setting, set your multi-meter to the Rx1 setting and touch the probes to the terminals
You are testing for continuity and you should receive a reading of infinity. With the probes still touching the terminals, adjust the control to higher (colder) and higher settings. Your reading should change to zero, indicating that you have continuity.
If your control fails either of the tests above, you will need areplacement cold control & temperature control.
The evaporator fan motor is used to circulate the cold air throughout the refrigerator when the compressor is running. If the fan is defective, then temperatures in the freezer section will rise slowly and temperatures in the fresh food section will rise more rapidly and the compressor will run longer and more frequently than normal. With the compressor running you should also hear the evaporator fan running at the same time, as well as the condenser fan which is located next to the compre",1773944935.872315
repair_guide_refrigerator_door-sweating,refrigerator,repair_guide,door sweating,https://www.partselect.com/Repair/Refrigerator/Door-Sweating/,"How To Fix A Refrigerator Door That's Sweating
11 step by step videos
Leaky or damaged door seals can create excess moisture that is visible near the air outlet ducts or on shelves in the freezer. Damaged gaskets can also prevent doors from closing properly and may introduce enough moisture into the refrigerator that defrost issues may occur. Moisture along the edge of the door is a good indication that the gaskets are not sealing properly and should be replaced.
How to inspect refrigerator door gaskets:
Take a piece of paper, and place it at various points along the door.
Close the door normally and slide the paper out.
If the paper slides out without any resistance, then you will needreplacement fresh food & freezer door gasket(s).
When activated, the ice dispenser door opens so that ice can be dispensed from the icemaker. The door or flapper is normally spring loaded and will have a vinyl or foam rubber seal attached to prevent room air from entering the refrigerator. If there is moisture around the front of the dispenser or if there is signs of moisture in the ice bin area, then this would indicate that the door is not closing completely. The flapper door is hinged and is normally operated by a solenoid with a return spring and often with a damper to slow the closing action to prevent the door from closing on an ice cube.
How to inspect a refrigerator dispenser door assembly or flapper & ice door kit:
Remove the dispenser cover in order to inspect its components.
You should inspect the following parts for damage or wear.
Door pivot mechanism.
Solenoid plunger and linkage.",1773944936.03839
repair_guide_refrigerator_refrigerator-too-cold,refrigerator,repair_guide,refrigerator too cold,https://www.partselect.com/Repair/Refrigerator/Refrigerator-Too-Cold/,"How To Fix A Refrigerator That's Too Cold
2 step by step videos
The air damper, baffle or diffuser is the device that balances the air flow from the evaporator fan housing. This normally is a mechanically controlled baffle or flapper that controls the amount of cold air entering the fresh food compartment. If the baffle is damaged or the linkage to the control knob is damaged, then too much cold air may enter the fresh food compartment resulting in lower than normal temperatures. The baffle or damper will be located where the cold air enters the fresh food compartment. The housing that the baffle or damper is encased in is often made of plastic with a Styrofoam lining and may have a foam seal to prevent air leakage.
How to inspect a refrigerator’s air inlet damper or baffle:
Unplug your refrigerator and locate the damper or baffle. It is usually found where the cold air enters the fresh food compartment.
Use caution when inspecting the baffle or damper to not damage the plastic & Styrofoam housing that the baffle or damper is encased in.
If your model of has a temperature sensing bulb attached to this control make sure that the sensing bulb is in the correct position and not damaged.
The control knob should move freely, try to move it to verify that the linkage is intact and that it moves freely.
If the damper/baffle is stuck in the closed or nearly closed position or does not move freely, then you need areplacement air inlet damper or baffle.
Some electronic controls models will use a thermistor to sense the temperature. The electronic control monitors this temperature and will automatically adjust the damper. The temperature sensor is normally a plastic encased capsule with two wires attached and may be located near the air inlet. The thermistor will have a specific resistance based on temperature and is therefore difficult to diagnose without the manufacturer’s specifications. Some models may indicate a fault code when the sensor is faulty.
How to test a refriger",1773944936.2070432
repair_guide_refrigerator_not-dispensing-water,refrigerator,repair_guide,not dispensing water,https://www.partselect.com/Repair/Refrigerator/Not-Dispensing-Water/,"How To A Fix Refrigerator That's Not Dispensing Water
29 step by step videos
If so equipped, the ice and water filter in your refrigerator is responsible for removing any debris or contaminants from your water that may remain after local water treatment. Most filters contain and are made up of carbon and a fabric filter. Over time the filter may become restricted and reduce or stop the water flow to the dispenser. Most manufacturers recommend replacing the filter every 6 months, but local water conditions may require that you replace more frequently.
How to inspect your refrigerator’s ice and water filter:
Consider when you last changed your ice and water filter. How frequently you need to change your filter varies by model and local water conditions, but you should never exceed 12 months of use per filter.
Find and remove your water filter. The exact location differs from model to model, but it is commonly located in the water line leading to the fridge, behind the base grill, or inside the unit attached to the rear corner or ceiling. If your filter is in the water line, you will need to disconnect the water supply before beginning.
With the variety of locations and removal instructions, we recommend you followbrand specific directions, or refer to your owner’s manual for specific directions. Take note of the installation date on your calendar before installing the new filter.
If your filter is damaged or clogged, or if you have exceeded the manufacturers’ recommended guidelines, you will need areplacement ice and water filter.
The water inlet valve is a solenoid-operated device that supplies water to the dispenser when activated. When water is selected at the dispenser control panel, line voltage is supplied to the solenoid of the water inlet valve to allow water to flow. Verify that you have adequate pressure at the inlet to the valve, that the inlet screen is not plugged and that there are no restrictions in the inlet or outlet tubing.
How to test your refrigera",1773944936.2807832
repair_guide_refrigerator_light-not-working,refrigerator,repair_guide,light not working,https://www.partselect.com/Repair/Refrigerator/Light-Not-Working/,"How To Fix A Refrigerator Light That's Not Working
23 step by step videos
Most light bulbs or lamps can be checked visually for a broken filament or can be checked with a multi-meter for continuity. You can also simply replace the bulb with a new one.
How to test a refrigerator lightbulb with a multi-meter.
Remove the bulb from the refrigerator.
Set your multi-meter to the Rx1 setting.
Place one probe on the bottom of the lightbulb, and place the other on the threading of the bulb.
If you receive a reading of infinity, you need areplacement lightbulb.
If you have verified that the light bulb or lamp is not defective, then you should next inspect the socket.
How to inspect the light sockets of a refrigerator:
Unplug your refrigerator before close inspection of the socket as this is a live voltage circuit.
Inspect the socket for discolored terminals or heat damaged sockets that may prevent good connectivity to the light bulb or lamp.
If you find either of the above, you need areplacement light socket.",1773944936.123723
